model,feature,accuracy,precision,recall,f1,sensitivity,specificity
LinearRegression,AAC,0.8457907159716759,0.8464294186397249,0.8467309348183074,0.8457829833597463,0.8716271463614064,0.8218347232752085
LinearRegression,DPC,0.8406766325727774,0.8423715037351401,0.8420707602640074,0.8406724655444979,0.8789860997547015,0.8051554207733131
LinearRegression,CTD,0.8457907159716759,0.8488771206607684,0.8476236054346283,0.8457486068111455,0.8961569910057237,0.799090219863533
LinearRegression,PAAC,0.8473642800944139,0.8545560766290563,0.8446170412060476,0.8456744225637021,0.7718724448078496,0.9173616376042456
LinearRegression,APAAC,0.8509047993705744,0.8629552013014263,0.847433602973585,0.8485796314961684,0.7555192150449714,0.9393479909021987
LinearRegression,RSacid,0.8686073957513769,0.868995895460239,0.8694314246093171,0.8685914520707384,0.8912510220768601,0.8476118271417741
LinearRegression,RSpolar,0.8713611329661684,0.871774613003096,0.8722039727561888,0.8713466186145099,0.8945216680294358,0.8498862774829417
LinearRegression,RSsecond,0.8599527930763179,0.8610391662870582,0.8611215290455801,0.8599524463040031,0.8920686835650041,0.8301743745261562
LinearRegression,RScharge,0.8701809598741149,0.8709515358192637,0.8712155260216584,0.8701770220478992,0.8986099754701553,0.8438210765731615
LinearRegression,RSDHP,0.8701809598741149,0.8707223651738798,0.8710965032728157,0.8701712354208455,0.8953393295175798,0.8468536770280516
